review_id,product_id,product_name,category,rating,review_title,review_text,review_date,verified_purchase,helpful_votes
R100080,P1017,Smart Biography,Books,4,Very satisfied,Best purchase i've made this year. fast shipping and well packaged. absolutely love this product.,2025-09-30,Yes,3
R100081,P1092,Plus First Aid Kit,Health & Household,5,Highly recommend,Impressive performance overall. easy to use and set up. amazing quality for the price.,2025-06-10,Yes,2
R100082,P1133,Lite Diaper Bag,Baby Products,2,Broke quickly,Stopped working within a week. not as described in the listing. flimsy material and poor stitching.,2025-09-17,Yes,5
R100083,P1187,Max Paint Roller,Tools & Home Improvement,4,Great purchase!,Highly recommend this to everyone. fast shipping and well packaged. excellent build quality.,2024-07-25,No,0
R100084,P1062,Pro Jacket,Clothing,1,Not worth it,"Not as described in the listing. worse than expected, very frustrating.",2024-11-19,Yes,2
R100085,P1083,Ultra Protein Bars,Grocery & Gourmet Food,5,Highly recommend,Amazing quality for the price.,2024-12-27,Yes,0
R100086,P1087,Prime Snack Pack,Grocery & Gourmet Food,4,Exceeded expectations,Impressive performance overall. durable and works as expected.,2023-01-21,Yes,0
R100087,P1048,Smart Hiking Backpack,Sports & Outdoors,5,Very satisfied,Excellent build quality.,2025-09-27,Yes,0
R100088,P1061,Ultra T-Shirt,Clothing,5,Very satisfied,Amazing quality for the price. best purchase i've made this year. super comfortable and stylish.,2025-07-06,Yes,1
R100089,P1023,Compact Air Fryer,Home & Kitchen,5,Highly recommend,Excellent build quality. exactly as described and works great.,2024-09-19,Yes,0
R100090,P1094,Compact Air Purifier,Health & Household,4,Exceeded expectations,Very happy with this purchase. impressive performance overall.,2025-05-21,No,0
R100091,P1140,Compact Garden Hose,Garden & Outdoor,5,Very satisfied,Fast shipping and well packaged. super comfortable and stylish.,2024-07-08,Yes,6
R100092,P1059,Elite Action Figure,Toys & Games,4,Highly recommend,Super comfortable and stylish.,2024-10-08,Yes,3
R100093,P1137,Classic Pacifier Set,Baby Products,5,Very satisfied,Great value for the price. excellent build quality. easy to use and set up.,2024-07-20,Yes,2
R100094,P1194,Ultra Bracelet,Jewelry,4,Highly recommend,Durable and works as expected. highly recommend this to everyone. works perfectly and exceeded my expectations.,2024-08-29,Yes,0
R100095,P1045,Elite Water Bottle,Sports & Outdoors,2,Broke quickly,Broke after a few days of use. started malfunctioning almost immediately.,2023-09-17,Yes,6
R100096,P1013,Pro Cookbook,Books,5,Very satisfied,Highly recommend this to everyone. super comfortable and stylish. great value for the price.,2023-07-30,No,3
R100097,P1146,Elite Lawn Chair,Garden & Outdoor,4,Very satisfied,Amazing quality for the price. impressive performance overall.,2024-11-28,Yes,1
R100098,P1013,Pro Cookbook,Books,5,Great purchase!,Easy to use and set up. amazing quality for the price.,2023-05-14,Yes,6
R100099,P1018,Prime Notebook Set,Books,5,Highly recommend,Best purchase i've made this year. impressive performance overall. absolutely love this product.,2023-11-02,Yes,4
R100100,P1077,Deluxe Boots,Shoes,5,Great purchase!,Excellent build quality.,2025-05-02,Yes,0
R100101,P1158,Max Microphone,Musical Instruments,3,Mixed feelings,"Does what it says, nothing more.",2025-07-11,No,6
R100102,P1076,Max Boots,Shoes,5,Excellent product,Exactly as described and works great. highly recommend this to everyone. durable and works as expected.,2023-05-04,Yes,0
R100103,P1189,Deluxe Tape Measure,Tools & Home Improvement,2,Would not recommend,Flimsy material and poor stitching.,2024-03-08,Yes,3
R100104,P1020,Pro Blender,Home & Kitchen,1,Would not recommend,Does not work as advertised.,2023-06-03,Yes,0
R100105,P1104,Essential Seat Covers,Automotive,5,Very satisfied,Super comfortable and stylish. durable and works as expected.,2024-08-19,Yes,3
R100106,P1073,Max Sandals,Shoes,5,Great purchase!,Highly recommend this to everyone. super comfortable and stylish. amazing quality for the price.,2024-04-23,No,0
R100107,P1160,Essential Blu-ray Set,Movies & TV,5,Very satisfied,Best purchase i've made this year. customer service was excellent. excellent build quality.,2023-08-24,Yes,0
R100108,P1165,Essential HDMI Cable,Movies & TV,4,Exceeded expectations,Impressive performance overall.,2023-10-19,Yes,4
R100109,P1042,Ultra Resistance Bands,Sports & Outdoors,5,Excellent product,Durable and works as expected. super comfortable and stylish.,2024-08-14,Yes,5
R100110,P1119,Deluxe Pet Grooming Kit,Pet Supplies,5,Exceeded expectations,Highly recommend this to everyone. super comfortable and stylish. exactly as described and works great.,2025-10-21,Yes,2
R100111,P1112,Lite Cat Litter Box,Pet Supplies,2,Very disappointed,Not as described in the listing.,2025-06-03,Yes,1
R100112,P1154,Compact Drum Sticks,Musical Instruments,4,Highly recommend,,2023-02-12,No,0
R100113,P1172,Compact Gaming Headset,Video Games,5,Highly recommend,Durable and works as expected. absolutely love this product.,2025-08-21,Yes,1
R100114,P1113,Plus Cat Litter Box,Pet Supplies,5,Very satisfied,Great value for the price. durable and works as expected.,2025-10-04,No,2
R100115,P1120,Smart Desk Organizer,Office Products,5,Exceeded expectations,Exactly as described and works great. fast shipping and well packaged.,2023-08-03,No,2
R100116,P1084,Elite Green Tea,Grocery & Gourmet Food,5,Exceeded expectations,Super comfortable and stylish. amazing quality for the price.,2025-03-31,Yes,2
R100117,P1140,Compact Garden Hose,Garden & Outdoor,3,It's okay,Acceptable but could be improved.,2024-10-06,Yes,3
R100118,P1029,Elite Storage Containers,Home & Kitchen,4,Great purchase!,Easy to use and set up. very happy with this purchase.,2025-08-04,Yes,0
R100119,P1048,Smart Hiking Backpack,Sports & Outdoors,5,Very satisfied,Fast shipping and well packaged. durable and works as expected. customer service was excellent.,2025-06-24,Yes,0
R100120,P1052,Plus Puzzle Set,Toys & Games,5,Exceeded expectations,Very happy with this purchase. great value for the price.,2025-06-16,No,9
R100121,P1124,Smart Notebook,Office Products,5,Excellent product,Absolutely love this product.,2024-05-05,Yes,1
R100122,P1079,Essential Slippers,Shoes,1,Very disappointed,"Broke after a few days of use. customer service was unhelpful. waste of money, would not recommend.",2024-04-05,No,7
R100123,P1029,Elite Storage Containers,Home & Kitchen,4,Highly recommend,Works perfectly and exceeded my expectations. best purchase i've made this year.,2025-10-17,No,10
R100124,P1074,Classic Sneakers,Shoes,5,Very satisfied,Super comfortable and stylish. highly recommend this to everyone. exactly as described and works great.,2025-08-25,Yes,5
R100125,P1141,Plus Garden Hose,Garden & Outdoor,4,Highly recommend,Exactly as described and works great.,2025-11-06,Yes,1
R100126,P1034,Max Lip Balm Set,Beauty & Personal Care,5,Very satisfied,Highly recommend this to everyone.,2024-11-27,No,1
R100127,P1129,Max Sticky Notes,Office Products,3,Does the job,"It's okay, does the job but nothing special. meets basic expectations.",2025-09-29,No,2
R100128,P1114,Compact Pet Bed,Pet Supplies,5,Excellent product,Amazing quality for the price. fast shipping and well packaged. easy to use and set up.,2025-02-11,Yes,3
R100129,P1082,Compact Protein Bars,Grocery & Gourmet Food,5,Highly recommend,Super comfortable and stylish.,2025-02-23,Yes,0
R100130,P1198,Classic Watch,Jewelry,5,Very satisfied,Absolutely love this product. fast shipping and well packaged.,2025-02-19,Yes,13
R100131,P1169,Ultra Remote Control,Movies & TV,3,It's okay,Acceptable but could be improved.,2023-09-16,Yes,2
R100132,P1151,Pro Acoustic Guitar,Musical Instruments,5,Very satisfied,Easy to use and set up. works perfectly and exceeded my expectations.,2023-07-24,Yes,4
R100133,P1116,Classic Chew Toys,Pet Supplies,5,Highly recommend,Super comfortable and stylish.,2025-04-19,No,3
R100134,P1039,Ultra Body Wash,Beauty & Personal Care,4,Exceeded expectations,Amazing quality for the price.,2024-11-24,Yes,1
R100135,P1101,Pro Car Vacuum,Automotive,5,Excellent product,Works perfectly and exceeded my expectations. easy to use and set up. fast shipping and well packaged.,2025-02-17,No,4
R100136,P1160,Essential Blu-ray Set,Movies & TV,5,Excellent product,Impressive performance overall. customer service was excellent. amazing quality for the price.,2023-03-15,Yes,7
R100137,P1060,Deluxe T-Shirt,Clothing,4,Great purchase!,Best purchase i've made this year. highly recommend this to everyone. excellent build quality.,2025-06-07,No,2
R100138,P1194,Ultra Bracelet,Jewelry,5,Very satisfied,Super comfortable and stylish. easy to use and set up. works perfectly and exceeded my expectations.,2023-12-07,Yes,3
R100139,P1007,Ultra Power Bank,Electronics,5,Great purchase!,Fast shipping and well packaged.,2024-08-23,Yes,4
R100140,P1110,Deluxe Dog Leash,Pet Supplies,5,Excellent product,Excellent build quality.,2025-04-23,Yes,1
R100141,P1046,Essential Camping Tent,Sports & Outdoors,4,Great purchase!,Great value for the price.,2025-02-22,Yes,0
R100142,P1061,Ultra T-Shirt,Clothing,5,Highly recommend,Impressive performance overall. durable and works as expected.,2024-04-20,Yes,0
R100143,P1065,Essential Jeans,Clothing,4,Great purchase!,Highly recommend this to everyone. best purchase i've made this year.,2025-08-10,No,2
R100144,P1173,Prime Gaming Headset,Video Games,4,Exceeded expectations,Great value for the price. works perfectly and exceeded my expectations. amazing quality for the price.,2024-09-04,Yes,2
R100145,P1108,Smart Dash Cam,Automotive,1,Would not recommend,"Stopped working within a week. arrived damaged and defective. worse than expected, very frustrating.",2025-02-26,No,0
R100146,P1027,Deluxe Coffee Maker,Home & Kitchen,5,Excellent product,Exactly as described and works great.,2025-01-05,Yes,1
R100147,P1179,Prime Memory Card,Video Games,2,Not worth it,Broke after a few days of use. regret buying this product.,2024-07-16,Yes,2
R100148,P1175,Deluxe Game Console Stand,Video Games,5,Very satisfied,Absolutely love this product. durable and works as expected. super comfortable and stylish.,2024-08-09,Yes,0
R100149,P1058,Max Action Figure,Toys & Games,5,Highly recommend,Customer service was excellent. fast shipping and well packaged. excellent build quality.,2024-05-28,Yes,0
R100150,P1184,Lite LED Light Bulbs,Tools & Home Improvement,1,Very disappointed,Terrible experience overall. regret buying this product. very disappointed with this purchase.,2023-03-22,Yes,2
R100151,P1112,Lite Cat Litter Box,Pet Supplies,5,Exceeded expectations,Durable and works as expected.,2023-09-27,Yes,3
R100152,P1075,Max Sneakers,Shoes,5,Highly recommend,Super comfortable and stylish. exactly as described and works great.,2024-02-16,Yes,11
R100153,P1138,Compact Baby Bottles,Baby Products,4,Exceeded expectations,Very happy with this purchase. impressive performance overall.,2023-12-03,Yes,1
R100154,P1123,Essential Wireless Mouse,Office Products,5,Exceeded expectations,Super comfortable and stylish. easy to use and set up.,2023-08-24,Yes,0
R100155,P1019,Elite Notebook Set,Books,4,Highly recommend,Customer service was excellent.,2025-03-24,No,0
R100156,P1142,Elite Patio Umbrella,Garden & Outdoor,1,Not worth it,Poor quality and not worth the money. flimsy material and poor stitching.,2023-01-29,Yes,9
R100157,P1031,Pro Face Serum,Beauty & Personal Care,5,Exceeded expectations,Fast shipping and well packaged. best purchase i've made this year.,2025-02-19,Yes,3
R100158,P1095,Prime Air Purifier,Health & Household,4,Highly recommend,Best purchase i've made this year.,2025-08-23,Yes,0
R100159,P1143,Ultra Patio Umbrella,Garden & Outdoor,3,It's okay,Reasonable for occasional use. decent product overall.,2025-08-08,No,0
R100160,P1077,Deluxe Boots,Shoes,5,Great purchase!,Exactly as described and works great. works perfectly and exceeded my expectations. great value for the price.,2023-03-18,Yes,3
R100161,P1126,Plus Stapler,Office Products,5,Highly recommend,Works perfectly and exceeded my expectations.,2023-10-05,Yes,0
R100162,P1094,Compact Air Purifier,Health & Household,5,Very satisfied,Super comfortable and stylish. impressive performance overall. very happy with this purchase.,2023-11-13,No,4
R100163,P1167,Classic Projector Screen,Movies & TV,5,Very satisfied,Easy to use and set up.,2025-04-15,No,2
R100164,P1071,Lite Running Shoes,Shoes,4,Exceeded expectations,Super comfortable and stylish.,2024-03-20,Yes,0
R100165,P1060,Deluxe T-Shirt,Clothing,4,Exceeded expectations,Works perfectly and exceeded my expectations. best purchase i've made this year.,2025-01-04,Yes,4
R100166,P1070,Essential Running Shoes,Shoes,1,Not worth it,Poor quality and not worth the money.,2023-07-07,Yes,0
R100167,P1164,Pro HDMI Cable,Movies & TV,1,Poor quality,Not as described in the listing. broke after a few days of use. regret buying this product.,2024-05-13,No,0
R100168,P1144,Plus Plant Pots,Garden & Outdoor,5,Excellent product,Works perfectly and exceeded my expectations.,2024-02-29,Yes,3
R100169,P1059,Elite Action Figure,Toys & Games,4,Excellent product,Customer service was excellent. great value for the price.,2023-01-06,Yes,0
R100170,P1037,Deluxe Electric Razor,Beauty & Personal Care,4,Exceeded expectations,Very happy with this purchase.,2023-12-24,Yes,1
R100171,P1006,Classic Power Bank,Electronics,3,Does the job,"It's okay, does the job but nothing special.",2024-05-02,Yes,1
R100172,P1004,Deluxe Smart Watch,Electronics,4,Great purchase!,Highly recommend this to everyone.,2023-09-17,Yes,2
R100173,P1134,Ultra Baby Carrier,Baby Products,5,Great purchase!,Super comfortable and stylish.,2025-09-02,Yes,0
R100174,P1092,Plus First Aid Kit,Health & Household,4,Excellent product,Durable and works as expected. works perfectly and exceeded my expectations. amazing quality for the price.,2024-03-29,No,2
R100175,P1011,Elite Novel,Books,4,Excellent product,Customer service was excellent. easy to use and set up. best purchase i've made this year.,2024-09-09,Yes,5
R100176,P1007,Ultra Power Bank,Electronics,5,Very satisfied,Amazing quality for the price.,2025-05-23,Yes,0
R100177,P1125,Elite Notebook,Office Products,2,Very disappointed,"Worse than expected, very frustrating. arrived damaged and defective. poor quality and not worth the money.",2024-10-21,Yes,3
R100178,P1016,Deluxe Biography,Books,1,Broke quickly,Stopped working within a week.,2024-10-27,Yes,2
R100179,P1152,Compact Keyboard,Musical Instruments,5,Excellent product,Highly recommend this to everyone. amazing quality for the price. very happy with this purchase.,2025-05-31,Yes,2
R100180,P1179,Prime Memory Card,Video Games,4,Excellent product,Easy to use and set up.,2024-03-16,Yes,3
R100181,P1058,Max Action Figure,Toys & Games,4,Very satisfied,Fast shipping and well packaged. easy to use and set up.,2025-03-27,Yes,2
R100182,P1024,Smart Cutlery Set,Home & Kitchen,5,Exceeded expectations,Exactly as described and works great. fast shipping and well packaged.,2025-02-05,No,1
R100183,P1175,Deluxe Game Console Stand,Video Games,5,Great purchase!,Works perfectly and exceeded my expectations. impressive performance overall.,2023-07-10,Yes,7
R100184,P1190,Pro Silver Necklace,Jewelry,3,It's okay,"Works fine but nothing extraordinary. does what it says, nothing more.",2024-11-06,Yes,0
R100185,P1105,Ultra Seat Covers,Automotive,2,Not worth it,Regret buying this product. terrible experience overall.,2023-04-16,No,0
R100186,P1153,Ultra Keyboard,Musical Instruments,2,Broke quickly,Cheaply made and feels fragile. poor quality and not worth the money.,2025-11-05,Yes,3
R100187,P1168,Prime Remote Control,Movies & TV,2,Very disappointed,Does not work as advertised. regret buying this product.,2024-12-18,Yes,1
R100188,P1094,Compact Air Purifier,Health & Household,5,Exceeded expectations,Customer service was excellent.,2024-04-08,Yes,0
R100189,P1143,Ultra Patio Umbrella,Garden & Outdoor,5,Excellent product,Durable and works as expected. best purchase i've made this year. easy to use and set up.,2023-02-23,Yes,0
R100190,P1168,Prime Remote Control,Movies & TV,2,Poor quality,Stopped working within a week. broke after a few days of use. very disappointed with this purchase.,2024-09-24,No,3
R100191,P1089,Deluxe Olive Oil,Grocery & Gourmet Food,5,Highly recommend,Great value for the price.,2025-03-31,Yes,6
R100192,P1189,Deluxe Tape Measure,Tools & Home Improvement,5,Excellent product,Absolutely love this product. works perfectly and exceeded my expectations. super comfortable and stylish.,2024-03-16,Yes,4
R100193,P1116,Classic Chew Toys,Pet Supplies,4,Exceeded expectations,Great value for the price. fast shipping and well packaged.,2024-10-26,Yes,0
R100194,P1145,Smart Plant Pots,Garden & Outdoor,5,Highly recommend,Works perfectly and exceeded my expectations. absolutely love this product. great value for the price.,2023-04-12,Yes,4
R100195,P1069,Plus Socks Pack,Clothing,5,Very satisfied,Best purchase i've made this year. exactly as described and works great.,2025-06-24,Yes,1
R100196,P1055,Essential RC Car,Toys & Games,4,Great purchase!,Works perfectly and exceeded my expectations. fast shipping and well packaged. exactly as described and works great.,2024-08-03,Yes,4
R100197,P1151,Pro Acoustic Guitar,Musical Instruments,4,Exceeded expectations,Very happy with this purchase. best purchase i've made this year.,2023-04-04,Yes,8
R100198,P1153,Ultra Keyboard,Musical Instruments,5,Highly recommend,Absolutely love this product.,2024-09-09,No,1
R100199,P1196,Ultra Ring,Jewelry,5,Exceeded expectations,Customer service was excellent.,2024-08-15,Yes,4
R100200,P1001,Ultra Wireless Earbuds,Electronics,2,Would not recommend,"Started malfunctioning almost immediately. waste of money, would not recommend.",2023-09-22,Yes,6
R100201,P1180,Prime Drill Set,Tools & Home Improvement,4,Excellent product,Very happy with this purchase.,2024-12-26,Yes,5
R100202,P1189,Deluxe Tape Measure,Tools & Home Improvement,4,Great purchase!,Exactly as described and works great.,2025-07-30,No,6
R100203,P1080,Smart Coffee Beans,Grocery & Gourmet Food,4,Very satisfied,Exactly as described and works great. durable and works as expected. impressive performance overall.,2024-08-15,Yes,0
R100204,P1005,Smart Smart Watch,Electronics,5,Excellent product,Great value for the price. customer service was excellent.,2025-07-31,Yes,0
R100205,P1092,Plus First Aid Kit,Health & Household,4,Great purchase!,Exactly as described and works great.,2024-05-13,Yes,8
