review_id,product_id,product_name,category,rating,review_title,review_text,review_date,verified_purchase,helpful_votes,review_text_clean,review_length,sentiment_score,sentiment_label
R100074,P1063,Compact Jacket,Clothing,1,Very disappointed,Regret buying this product.,2023-11-09,Yes,0,regret buying this product,4,-1.0,Negative
R100075,P1121,Prime Desk Organizer,Office Products,5,Very satisfied,Works perfectly and exceeded my expectations. durable and works as expected. excellent build quality.,2024-06-08,Yes,0,works perfectly and exceeded my expectations durable and works as expected excellent build quality,14,1.0,Positive
R100076,P1042,Ultra Resistance Bands,Sports & Outdoors,3,Does the job,Works fine but nothing extraordinary.,2023-08-10,Yes,2,works fine but nothing extraordinary,5,0.0,Neutral
R100077,P1079,Essential Slippers,Shoes,5,Highly recommend,Best purchase i've made this year. exactly as described and works great. easy to use and set up.,2023-06-05,Yes,0,best purchase i've made this year exactly as described and works great easy to use and set up,18,0.833,Positive
R100078,P1160,Essential Blu-ray Set,Movies & TV,5,Exceeded expectations,Works perfectly and exceeded my expectations.,2023-09-05,Yes,4,works perfectly and exceeded my expectations,6,1.0,Positive
R100079,P1144,Plus Plant Pots,Garden & Outdoor,3,Decent for the price,Some pros and some cons.,2025-05-27,Yes,3,some pros and some cons,5,0.0,Neutral
R100080,P1017,Smart Biography,Books,4,Very satisfied,Best purchase i've made this year. fast shipping and well packaged. absolutely love this product.,2025-09-30,Yes,3,best purchase i've made this year fast shipping and well packaged absolutely love this product,15,1.0,Positive
R100081,P1092,Plus First Aid Kit,Health & Household,5,Highly recommend,Impressive performance overall. easy to use and set up. amazing quality for the price.,2025-06-10,Yes,2,impressive performance overall easy to use and set up amazing quality for the price,14,1.0,Positive
R100082,P1133,Lite Diaper Bag,Baby Products,2,Broke quickly,Stopped working within a week. not as described in the listing. flimsy material and poor stitching.,2025-09-17,Yes,5,stopped working within a week not as described in the listing flimsy material and poor stitching,16,-0.938,Negative
R100083,P1187,Max Paint Roller,Tools & Home Improvement,4,Great purchase!,Highly recommend this to everyone. fast shipping and well packaged. excellent build quality.,2024-07-25,No,0,highly recommend this to everyone fast shipping and well packaged excellent build quality,13,1.0,Positive
R100084,P1062,Pro Jacket,Clothing,1,Not worth it,"Not as described in the listing. worse than expected, very frustrating.",2024-11-19,Yes,2,not as described in the listing worse than expected very frustrating,11,-0.909,Negative
R100085,P1083,Ultra Protein Bars,Grocery & Gourmet Food,5,Highly recommend,Amazing quality for the price.,2024-12-27,Yes,0,amazing quality for the price,5,1.0,Positive
R100086,P1087,Prime Snack Pack,Grocery & Gourmet Food,4,Exceeded expectations,Impressive performance overall. durable and works as expected.,2023-01-21,Yes,0,impressive performance overall durable and works as expected,8,1.0,Positive
R100087,P1048,Smart Hiking Backpack,Sports & Outdoors,5,Very satisfied,Excellent build quality.,2025-09-27,Yes,0,excellent build quality,3,1.0,Positive
R100088,P1061,Ultra T-Shirt,Clothing,5,Very satisfied,Amazing quality for the price. best purchase i've made this year. super comfortable and stylish.,2025-07-06,Yes,1,amazing quality for the price best purchase i've made this year super comfortable and stylish,15,1.0,Positive
R100089,P1023,Compact Air Fryer,Home & Kitchen,5,Highly recommend,Excellent build quality. exactly as described and works great.,2024-09-19,Yes,0,excellent build quality exactly as described and works great,9,1.0,Positive
R100090,P1094,Compact Air Purifier,Health & Household,4,Exceeded expectations,Very happy with this purchase. impressive performance overall.,2025-05-21,No,0,very happy with this purchase impressive performance overall,8,1.0,Positive
R100091,P1140,Compact Garden Hose,Garden & Outdoor,5,Very satisfied,Fast shipping and well packaged. super comfortable and stylish.,2024-07-08,Yes,6,fast shipping and well packaged super comfortable and stylish,9,1.0,Positive
R100092,P1059,Elite Action Figure,Toys & Games,4,Highly recommend,Super comfortable and stylish.,2024-10-08,Yes,3,super comfortable and stylish,4,1.0,Positive
R100093,P1137,Classic Pacifier Set,Baby Products,5,Very satisfied,Great value for the price. excellent build quality. easy to use and set up.,2024-07-20,Yes,2,great value for the price excellent build quality easy to use and set up,14,1.0,Positive
R100094,P1194,Ultra Bracelet,Jewelry,4,Highly recommend,Durable and works as expected. highly recommend this to everyone. works perfectly and exceeded my expectations.,2024-08-29,Yes,0,durable and works as expected highly recommend this to everyone works perfectly and exceeded my expectations,16,1.0,Positive
R100095,P1045,Elite Water Bottle,Sports & Outdoors,2,Broke quickly,Broke after a few days of use. started malfunctioning almost immediately.,2023-09-17,Yes,6,broke after a few days of use started malfunctioning almost immediately,11,-0.909,Negative
R100096,P1013,Pro Cookbook,Books,5,Very satisfied,Highly recommend this to everyone. super comfortable and stylish. great value for the price.,2023-07-30,No,3,highly recommend this to everyone super comfortable and stylish great value for the price,14,1.0,Positive
R100097,P1146,Elite Lawn Chair,Garden & Outdoor,4,Very satisfied,Amazing quality for the price. impressive performance overall.,2024-11-28,Yes,1,amazing quality for the price impressive performance overall,8,1.0,Positive
R100098,P1013,Pro Cookbook,Books,5,Great purchase!,Easy to use and set up. amazing quality for the price.,2023-05-14,Yes,6,easy to use and set up amazing quality for the price,11,1.0,Positive
R100099,P1018,Prime Notebook Set,Books,5,Highly recommend,Best purchase i've made this year. impressive performance overall. absolutely love this product.,2023-11-02,Yes,4,best purchase i've made this year impressive performance overall absolutely love this product,13,1.0,Positive
R100100,P1077,Deluxe Boots,Shoes,5,Great purchase!,Excellent build quality.,2025-05-02,Yes,0,excellent build quality,3,1.0,Positive
R100101,P1158,Max Microphone,Musical Instruments,3,Mixed feelings,"Does what it says, nothing more.",2025-07-11,No,6,does what it says nothing more,6,0.0,Neutral
R100102,P1076,Max Boots,Shoes,5,Excellent product,Exactly as described and works great. highly recommend this to everyone. durable and works as expected.,2023-05-04,Yes,0,exactly as described and works great highly recommend this to everyone durable and works as expected,16,0.938,Positive
R100103,P1189,Deluxe Tape Measure,Tools & Home Improvement,2,Would not recommend,Flimsy material and poor stitching.,2024-03-08,Yes,3,flimsy material and poor stitching,5,-1.0,Negative
R100104,P1020,Pro Blender,Home & Kitchen,1,Would not recommend,Does not work as advertised.,2023-06-03,Yes,0,does not work as advertised,5,0.0,Neutral
R100105,P1104,Essential Seat Covers,Automotive,5,Very satisfied,Super comfortable and stylish. durable and works as expected.,2024-08-19,Yes,3,super comfortable and stylish durable and works as expected,9,1.0,Positive
R100106,P1073,Max Sandals,Shoes,5,Great purchase!,Highly recommend this to everyone. super comfortable and stylish. amazing quality for the price.,2024-04-23,No,0,highly recommend this to everyone super comfortable and stylish amazing quality for the price,14,1.0,Positive
R100107,P1160,Essential Blu-ray Set,Movies & TV,5,Very satisfied,Best purchase i've made this year. customer service was excellent. excellent build quality.,2023-08-24,Yes,0,best purchase i've made this year customer service was excellent excellent build quality,13,1.0,Positive
R100108,P1165,Essential HDMI Cable,Movies & TV,4,Exceeded expectations,Impressive performance overall.,2023-10-19,Yes,4,impressive performance overall,3,1.0,Positive
R100109,P1042,Ultra Resistance Bands,Sports & Outdoors,5,Excellent product,Durable and works as expected. super comfortable and stylish.,2024-08-14,Yes,5,durable and works as expected super comfortable and stylish,9,1.0,Positive
R100110,P1119,Deluxe Pet Grooming Kit,Pet Supplies,5,Exceeded expectations,Highly recommend this to everyone. super comfortable and stylish. exactly as described and works great.,2025-10-21,Yes,2,highly recommend this to everyone super comfortable and stylish exactly as described and works great,15,1.0,Positive
R100111,P1112,Lite Cat Litter Box,Pet Supplies,2,Very disappointed,Not as described in the listing.,2025-06-03,Yes,1,not as described in the listing,6,0.0,Neutral
R100112,P1154,Compact Drum Sticks,Musical Instruments,4,Highly recommend,,2023-02-12,No,0,,0,0.0,Neutral
R100113,P1172,Compact Gaming Headset,Video Games,5,Highly recommend,Durable and works as expected. absolutely love this product.,2025-08-21,Yes,1,durable and works as expected absolutely love this product,9,1.0,Positive
R100114,P1113,Plus Cat Litter Box,Pet Supplies,5,Very satisfied,Great value for the price. durable and works as expected.,2025-10-04,No,2,great value for the price durable and works as expected,10,1.0,Positive
R100115,P1120,Smart Desk Organizer,Office Products,5,Exceeded expectations,Exactly as described and works great. fast shipping and well packaged.,2023-08-03,No,2,exactly as described and works great fast shipping and well packaged,11,0.909,Positive
R100116,P1084,Elite Green Tea,Grocery & Gourmet Food,5,Exceeded expectations,Super comfortable and stylish. amazing quality for the price.,2025-03-31,Yes,2,super comfortable and stylish amazing quality for the price,9,1.0,Positive
R100117,P1140,Compact Garden Hose,Garden & Outdoor,3,It's okay,Acceptable but could be improved.,2024-10-06,Yes,3,acceptable but could be improved,5,0.0,Neutral
R100118,P1029,Elite Storage Containers,Home & Kitchen,4,Great purchase!,Easy to use and set up. very happy with this purchase.,2025-08-04,Yes,0,easy to use and set up very happy with this purchase,11,0.909,Positive
R100119,P1048,Smart Hiking Backpack,Sports & Outdoors,5,Very satisfied,Fast shipping and well packaged. durable and works as expected. customer service was excellent.,2025-06-24,Yes,0,fast shipping and well packaged durable and works as expected customer service was excellent,14,1.0,Positive
R100120,P1052,Plus Puzzle Set,Toys & Games,5,Exceeded expectations,Very happy with this purchase. great value for the price.,2025-06-16,No,9,very happy with this purchase great value for the price,10,1.0,Positive
R100121,P1124,Smart Notebook,Office Products,5,Excellent product,Absolutely love this product.,2024-05-05,Yes,1,absolutely love this product,4,1.0,Positive
R100122,P1079,Essential Slippers,Shoes,1,Very disappointed,"Broke after a few days of use. customer service was unhelpful. waste of money, would not recommend.",2024-04-05,No,7,broke after a few days of use customer service was unhelpful waste of money would not recommend,17,-1.0,Negative
R100123,P1029,Elite Storage Containers,Home & Kitchen,4,Highly recommend,Works perfectly and exceeded my expectations. best purchase i've made this year.,2025-10-17,No,10,works perfectly and exceeded my expectations best purchase i've made this year,12,1.0,Positive
R100124,P1074,Classic Sneakers,Shoes,5,Very satisfied,Super comfortable and stylish. highly recommend this to everyone. exactly as described and works great.,2025-08-25,Yes,5,super comfortable and stylish highly recommend this to everyone exactly as described and works great,15,1.0,Positive
R100125,P1141,Plus Garden Hose,Garden & Outdoor,4,Highly recommend,Exactly as described and works great.,2025-11-06,Yes,1,exactly as described and works great,6,0.833,Positive
R100126,P1034,Max Lip Balm Set,Beauty & Personal Care,5,Very satisfied,Highly recommend this to everyone.,2024-11-27,No,1,highly recommend this to everyone,5,1.0,Positive
R100127,P1129,Max Sticky Notes,Office Products,3,Does the job,"It's okay, does the job but nothing special. meets basic expectations.",2025-09-29,No,2,it's okay does the job but nothing special meets basic expectations,11,0.0,Neutral
R100128,P1114,Compact Pet Bed,Pet Supplies,5,Excellent product,Amazing quality for the price. fast shipping and well packaged. easy to use and set up.,2025-02-11,Yes,3,amazing quality for the price fast shipping and well packaged easy to use and set up,16,1.0,Positive
R100129,P1082,Compact Protein Bars,Grocery & Gourmet Food,5,Highly recommend,Super comfortable and stylish.,2025-02-23,Yes,0,super comfortable and stylish,4,1.0,Positive
R100130,P1198,Classic Watch,Jewelry,5,Very satisfied,Absolutely love this product. fast shipping and well packaged.,2025-02-19,Yes,13,absolutely love this product fast shipping and well packaged,9,1.0,Positive
R100131,P1169,Ultra Remote Control,Movies & TV,3,It's okay,Acceptable but could be improved.,2023-09-16,Yes,2,acceptable but could be improved,5,0.0,Neutral
R100132,P1151,Pro Acoustic Guitar,Musical Instruments,5,Very satisfied,Easy to use and set up. works perfectly and exceeded my expectations.,2023-07-24,Yes,4,easy to use and set up works perfectly and exceeded my expectations,12,1.0,Positive
R100133,P1116,Classic Chew Toys,Pet Supplies,5,Highly recommend,Super comfortable and stylish.,2025-04-19,No,3,super comfortable and stylish,4,1.0,Positive
R100134,P1039,Ultra Body Wash,Beauty & Personal Care,4,Exceeded expectations,Amazing quality for the price.,2024-11-24,Yes,1,amazing quality for the price,5,1.0,Positive
R100135,P1101,Pro Car Vacuum,Automotive,5,Excellent product,Works perfectly and exceeded my expectations. easy to use and set up. fast shipping and well packaged.,2025-02-17,No,4,works perfectly and exceeded my expectations easy to use and set up fast shipping and well packaged,17,1.0,Positive
R100136,P1160,Essential Blu-ray Set,Movies & TV,5,Excellent product,Impressive performance overall. customer service was excellent. amazing quality for the price.,2023-03-15,Yes,7,impressive performance overall customer service was excellent amazing quality for the price,12,1.0,Positive
R100137,P1060,Deluxe T-Shirt,Clothing,4,Great purchase!,Best purchase i've made this year. highly recommend this to everyone. excellent build quality.,2025-06-07,No,2,best purchase i've made this year highly recommend this to everyone excellent build quality,14,1.0,Positive
R100138,P1194,Ultra Bracelet,Jewelry,5,Very satisfied,Super comfortable and stylish. easy to use and set up. works perfectly and exceeded my expectations.,2023-12-07,Yes,3,super comfortable and stylish easy to use and set up works perfectly and exceeded my expectations,16,1.0,Positive
R100139,P1007,Ultra Power Bank,Electronics,5,Great purchase!,Fast shipping and well packaged.,2024-08-23,Yes,4,fast shipping and well packaged,5,1.0,Positive
R100140,P1110,Deluxe Dog Leash,Pet Supplies,5,Excellent product,Excellent build quality.,2025-04-23,Yes,1,excellent build quality,3,1.0,Positive
R100141,P1046,Essential Camping Tent,Sports & Outdoors,4,Great purchase!,Great value for the price.,2025-02-22,Yes,0,great value for the price,5,1.0,Positive
R100142,P1061,Ultra T-Shirt,Clothing,5,Highly recommend,Impressive performance overall. durable and works as expected.,2024-04-20,Yes,0,impressive performance overall durable and works as expected,8,1.0,Positive
R100143,P1065,Essential Jeans,Clothing,4,Great purchase!,Highly recommend this to everyone. best purchase i've made this year.,2025-08-10,No,2,highly recommend this to everyone best purchase i've made this year,11,0.909,Positive
R100144,P1173,Prime Gaming Headset,Video Games,4,Exceeded expectations,Great value for the price. works perfectly and exceeded my expectations. amazing quality for the price.,2024-09-04,Yes,2,great value for the price works perfectly and exceeded my expectations amazing quality for the price,16,1.0,Positive
